Sleect all,Selecionar todas
See more,Ver mais
posição,ordenar por
Concert Date,Data
Concert shedule,Horário
Concert state,Localidade
My sales,Minhas vendas
My profile,Meu Perfil
Favorite,Favoritos
Log out,Sair
My wallet,Minha carteira
My wishlist,Favoritos
My orders,Minhas compras
Search by ticket,Busca por ingresso
For sale,à venda
Sold,vendidos
In the promo,na promoção
Login with social networks,Login com redes sociais
Login with email,login com e-mail
Not registered yet,Não é cadastrado
Forgot your password,"Já é, se cadastre aqui"
To Buy,Comprar
Category,Categoria
Event Name,Nome do evento
Concert address,Endereco do evento
Sold by,Vendido por
Send a message,Envie uma mensagem
Other comments,Outros comentários
No Comment Found,Nenhum comentário encontrado
To send,Enviar
Ticket amount,Valor do ingresso
HIGHLIGHTS,DESTAQUES
View more,Ver mais
IT'S COMING,ESTÁ CHEGANDO
Publish ticket,Publicar ingresso
Concert Shedule,Data do evento
Keep logged in,Permanecer logado
Minimum length of this field must be equal or greater than 8 symbols. Leading and trailing spaces will be ignored.,Minímo de 8 caracteres
"Ops, I forgot my password?","Ops, esqueci minha senha?"
Enter your email here!,Insira seu e-mail aqui!
change password,Trocar senha
Terms and Conditions,Termos e Condições
,
